carNumber,manufacturer,model,manufacturingYear,mileage,price,accidentCount,explanation,accidentDetails
12가3456,현대,아반떼,2018,50000,25000000,0,매우 깨끗한 상태입니다.,
34나5678,기아,K5,2019,35000,22000000,1,전면 범퍼 교체,전면 충돌로 인한 범퍼 교체
56다7890,현대,그랜저,2020,20000,45000000,0,프리미엄 옵션 장착,프리미엄 사운드 시스템 가죽 시트
78라9012,기아,쏘렌토,2017,80000,35000000,2,사소한 사고 이력,좌측 도어 교체 후면 범퍼 페인트
90마1234,쉐보레,스파크,2021,15000,55000000,0,최신 모델,파노라마 선루프 헤드업 디스플레이
11바5678,르노삼성,QM6,2016,90000,30000000,1,후방 충돌 이력,후방 범퍼 교체   
22사6789,쌍용,티볼리,2018,60000,27000000,0,도심 주행에 최적화,연비 우수
33아7890,현대,투싼,2019,40000,32000000,2,측면 충돌 이력,좌측 펜더 및 도어 교체
44자8901,기아,스포티지,2020,25000,36000000,0,안전 사양 완비,어드밴스드 드라이버 어시스트 시스템
55차9012,쉐보레,말리부,2017,70000,28000000,1,전면 충돌 이력,전면 그릴 및 라이트 교체
66카0123,르노삼성,티볼트,2021,10000,40000000,0,최신 안전 사양 탑재,차선 유지 보조 시스템